id,version_group_id,identifier,pretty_identifier
1,1,red,Red
2,1,blue,Blue
3,2,yellow,Yellow
4,3,gold,Gold
5,3,silver,Silver
6,4,crystal,Crystal
7,5,ruby,Ruby
8,5,sapphire,Sapphire
9,6,emerald,Emerald
10,7,firered,Fire Red
11,7,leafgreen,Leaf Green
12,8,diamond,Diamond
13,8,pearl,Pearl
14,9,platinum,Platinum
15,10,heartgold,Heart Gold
16,10,soulsilver,Soul Silver
17,11,black,Black
18,11,white,White
19,12,colosseum,Colosseum
20,13,xd,XD
21,14,black-2,Black 2
22,14,white-2,White 2
23,15,x,X
24,15,y,Y
